hhid,lat_dd_mod,lon_dd_mod,dist_road2,dist_popcenter2,dist_market,dist_border2,dist_admctr,af_bio_1,af_bio_8,af_bio_12,af_bio_13,af_bio_16,popdensity,hybrid_V8,ssa_aez09,afmnslp_pct,srtm_1k,twi,sq1,sq2,sq3,sq4,sq5,sq6,sq7,anntot_avg,wetQ_avg,wetQ_avgstart,h2018_tot,h2018_wetQ,h2018_wetQstart,qstartavg,ndvi_avg,ndvi_max,h2018_ndvi_avg,h2018_ndvi_max
19036,5.10564427,7.392710352,1.5,1.9,2.4,529.5,1.9,264,251,2350,371,1021,3215,0,314,3,54,17,3,2,1,1,1,1,1,1762,797,16,2574,1150,16,23,0.226,0.307,0.194,0.213
19037,5.71798742,7.657651012,2.4,18.6,67,528.4,18.6,262,248,2079,316,887,709,32,313,8,183,13,3,2,1,1,1,1,1,1705,798,18,2180,1096,16,27,0.372,0.46,0.449,0.504
19038,5.71798742,7.657651012,2.4,18.6,67,528.4,18.6,262,248,2079,316,887,709,32,313,8,183,13,3,2,1,1,1,1,1,1705,798,18,2180,1096,16,27,0.372,0.46,0.449,0.504
19039,5.71798742,7.657651012,2.4,18.6,67,528.4,18.6,262,248,2079,316,887,709,32,313,8,183,13,3,2,1,1,1,1,1,1705,798,18,2180,1096,16,27,0.372,0.46,0.449,0.504
19040,5.71798742,7.657651012,2.4,18.6,67,528.4,18.6,262,248,2079,316,887,709,32,313,8,183,13,3,2,1,1,1,1,1,1705,798,18,2180,1096,16,27,0.372,0.46,0.449,0.504
19041,5.71798742,7.657651012,2.4,18.6,67,528.4,18.6,262,248,2079,316,887,709,32,313,8,183,13,3,2,1,1,1,1,1,1705,798,18,2180,1096,16,27,0.372,0.46,0.449,0.504
19043,5.71798742,7.657651012,2.4,18.6,67,528.4,18.6,262,248,2079,316,887,709,32,313,8,183,13,3,2,1,1,1,1,1,1705,798,18,2180,1096,16,27,0.372,0.46,0.449,0.504
19044,5.71798742,7.657651012,2.4,18.6,67,528.4,18.6,262,248,2079,316,887,709,32,313,8,183,13,3,2,1,1,1,1,1,1705,798,18,2180,1096,16,27,0.372,0.46,0.449,0.504
19045,5.71798742,7.657651012,2.4,18.6,67,528.4,18.6,262,248,2079,316,887,709,32,313,8,183,13,3,2,1,1,1,1,1,1705,798,18,2180,1096,16,27,0.372,0.46,0.449,0.504
19047,5.71798742,7.657651012,2.4,18.6,67,528.4,18.6,262,248,2079,316,887,709,32,313,8,183,13,3,2,1,1,1,1,1,1705,798,18,2180,1096,16,27,0.372,0.46,0.449,0.504
19048,5.71798742,7.657651012,2.4,18.6,67,528.4,18.6,262,248,2079,316,887,709,32,313,8,183,13,3,2,1,1,1,1,1,1705,798,18,2180,1096,16,27,0.372,0.46,0.449,0.504
19049,5.620971866,7.556736472,0.3,2.8,3.1,530.5,2.8,262,248,2113,317,894,2500,44,313,4,139,13,3,2,1,1,1,1,1,1733,803,17,2307,1129,13,27,0.37,0.474,0.418,0.48
